"","newspaper","year","quarter","clim_article_count","avoid","science_impacts","energy_combined","ir","irenv","kremlin","putin","center","right","energy","business","government","politics","inflation","cc_disasters","t","t_2","groups","yq"
"21","Argumenty i fakty",2000,1,4,1,0.239588644457399,0.003095545405813,0.0604680644719337,0.0029321223773877,0,1,1,0,0,0,0,0,1,0.25,0,0,"Argumenty i fakty",2000 Q1
"22","Argumenty i fakty",2000,2,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0.808812707151812,0.25,0,0,"Argumenty i fakty",2000 Q2
"23","Argumenty i fakty",2000,3,1,1,0.558604210615158,0.0003956447544625,0.0005206371934037,0.000265564507572,0,1,1,0,0,0,0,0,0.774180926210774,0.25,0,0,"Argumenty i fakty",2000 Q3
"24","Argumenty i fakty",2000,4,1,1,0.0094794184551574,0.0003977052037953,0.0083351497160038,0.0002669475506991,0,1,1,0,0,0,0,0,0.806229319681063,0.25,0,0,"Argumenty i fakty",2000 Q4
"25","Argumenty i fakty",2001,1,4,1,0.383450746536255,0.0007076949550538,0.0200202029609499,0.0004750187727041,0,1,1,0,0,0,0,0,0.891478374158858,0.75,1,1,"Argumenty i fakty",2001 Q1
"26","Argumenty i fakty",2001,2,NA,0,0,0,0,0,0,1,1,0,0,0,0,0,0.96745038792419,0.25,1,1,"Argumenty i fakty",2001 Q2
"27","Argumenty i fakty",2001,3,3,1,0.0990431627433281,0.0018515333322285,0.002143157116734,0.0003026243794011,0,1,1,0,0,0,0,0,0.846699847725394,0.25,1,1,"Argumenty i fakty",2001 Q3
"28","Argumenty i fakty",2001,4,1,1,0.752048581838608,0.0005090499325889,0.0006698694196529,0.0003416843246669,0,1,1,0,0,0,0,0,0.769856421644534,0.25,1,1,"Argumenty i fakty",2001 Q4
"29","Argumenty i fakty",2002,1,4,1,0.367139490088448,0.019096602260106,0.0123308314614405,0.0006524910131702,1,1,1,0,0,1,0,0,0.739804592589926,0.25,2,4,"Argumenty i fakty",2002 Q1
"30","Argumenty i fakty",2002,2,5,1,0.278403418182279,0.0148934544195071,0.0007972514977155,0.0027152834372828,1,1,1,0,0,1,0,0,0.66188598828305,0,2,4,"Argumenty i fakty",2002 Q2
"31","Argumenty i fakty",2002,3,5,1,0.124097455205629,0.0034950364834004,0.0101916858238837,0.0061107302863093,1,1,1,0,0,1,0,0,0.642242840676197,0,2,4,"Argumenty i fakty",2002 Q3
"32","Argumenty i fakty",2002,4,5,1,0.314687323640101,0.0061624779591512,0.0254792205087142,0.0112131893401965,1,1,1,0,0,1,0,0,0.643574035400923,0.5,2,4,"Argumenty i fakty",2002 Q4
"33","Argumenty i fakty",2003,1,2,1,0.161447150632739,0.0127034932847892,0.0043601076540653,0.0002580022410257,1,1,1,0,0,1,0,0,0.630333463140187,0,3,9,"Argumenty i fakty",2003 Q1
"34","Argumenty i fakty",2003,2,3,1,0.315785219892859,0.0005332299333532,0.0007016884592303,0.0358641202110448,1,1,1,0,0,1,0,0,0.610776261489993,0,3,9,"Argumenty i fakty",2003 Q2
"35","Argumenty i fakty",2003,3,7,1,0.368871960439719,0.0039758733137204,0.0008354182323274,0.0272118340071756,1,1,1,0,0,1,0,0,0.592493336712433,0.25,3,9,"Argumenty i fakty",2003 Q3
"36","Argumenty i fakty",2003,4,1,1,0.219688434153795,0.017529730896058,0.0004925659814035,0.0002512460923754,1,1,1,0,0,1,0,0,0.559013345426328,0,3,9,"Argumenty i fakty",2003 Q4
"37","Argumenty i fakty",2004,1,3,1,0.226309622870758,0.0006096714532759,0.0019445584875939,0.0004092234594282,1,1,1,0,0,1,0,0,0.495309291665186,0,4,16,"Argumenty i fakty",2004 Q1
"38","Argumenty i fakty",2004,2,NA,0,0,0,0,0,1,1,1,0,0,1,0,0,0.477891290568014,0.25,4,16,"Argumenty i fakty",2004 Q2
"39","Argumenty i fakty",2004,3,5,1,0.226013667182997,0.0477673950263125,0.0033302300071227,0.0404998121011886,1,1,1,0,0,1,0,0,0.507187933561066,0.5,4,16,"Argumenty i fakty",2004 Q3
"40","Argumenty i fakty",2004,4,2,1,0.0683178411854896,0.0029607102333102,0.0198041625480982,0.198741663829423,1,1,1,0,0,1,0,0,0.529112007172651,0,4,16,"Argumenty i fakty",2004 Q4
"41","Argumenty i fakty",2005,1,7,1,0.274983124989376,0.0017609855071897,0.0130172939516342,0.0007723098842689,1,1,1,0,0,1,0,0,0.577889240386982,0.5,5,25,"Argumenty i fakty",2005 Q1
"42","Argumenty i fakty",2005,2,1,1,0.0016294312663376,0.0003885982514476,0.000511364574777,0.0078937551006675,1,1,1,0,0,1,0,0,0.600440662564324,0,5,25,"Argumenty i fakty",2005 Q2
"43","Argumenty i fakty",2005,3,6,1,0.249411518714623,0.0044275812524575,0.0070347878718166,0.0078269344921864,1,1,1,0,0,1,0,0,0.56397920034994,0,5,25,"Argumenty i fakty",2005 Q3
"44","Argumenty i fakty",2005,4,1,1,0.0867146737873554,0.0053237811953296,0.0682033860248339,0.0001314262917731,1,1,1,0,0,1,0,0,0.516752295590889,0,5,25,"Argumenty i fakty",2005 Q4
"45","Argumenty i fakty",2006,1,8,1,0.116339278058149,0.0057253871377724,0.0042187756284875,0.0247479994523019,1,1,1,0,0,1,0,0,0.501506621236659,0.25,6,36,"Argumenty i fakty",2006 Q1
"46","Argumenty i fakty",2006,2,7,1,0.0217556148782023,0.0050479156011534,0.0009793116605579,0.0001673903116171,1,1,1,0,0,1,0,0,0.452982615546285,0,6,36,"Argumenty i fakty",2006 Q2
"47","Argumenty i fakty",2006,3,2,1,0.0559416908654384,0.0052303240590845,0.0101293548723334,0.0003250646113884,1,1,1,0,0,1,0,0,0.452584919130148,0,6,36,"Argumenty i fakty",2006 Q3
"48","Argumenty i fakty",2006,4,7,1,0.184509160375455,0.0936258693091077,0.0272254581586822,0.0004427457970451,1,1,1,0,0,1,0,0,0.440804676816964,0,6,36,"Argumenty i fakty",2006 Q4
"49","Argumenty i fakty",2007,1,2,1,0.305629730224609,0.0058373755891808,0.000689532567776,0.0003517139848555,1,1,1,0,0,1,0,0,0.39465240387255,0.25,7,49,"Argumenty i fakty",2007 Q1
"50","Argumenty i fakty",2007,2,6,1,0.117093436434516,0.0328968536441607,0.0361659949003297,0.0155219500047679,1,1,1,0,0,1,0,0,0.402187883530274,0,7,49,"Argumenty i fakty",2007 Q2
