year,quarter,art_cnt_rus,art_cnt_wp,art_cnt_wsj,art_cnt_nyt,art_cnt_ust,art_cnt_lat,art_cnt_usatot
2000,1,45,53,8,72,10,42,185
2000,2,50,69,5,73,24,49,220
2000,3,37,58,7,106,15,56,242
2000,4,80,62,17,135,29,51,294
2001,1,85,81,7,117,23,60,288
2001,2,82,185,26,215,32,121,579
2001,3,82,122,26,150,39,116,453
2001,4,49,41,3,62,11,50,167
2002,1,65,77,13,108,21,68,287
2002,2,82,82,10,122,21,68,303
2002,3,140,87,10,122,19,97,335
2002,4,71,55,12,112,22,67,268
2003,1,84,67,17,104,19,58,265
2003,2,47,45,9,83,11,38,186
2003,3,112,79,12,93,13,36,233
2003,4,122,51,18,118,14,55,256
2004,1,85,42,5,79,10,54,190
2004,2,89,77,14,102,24,69,286
2004,3,77,97,12,103,15,62,289
2004,4,114,128,20,118,24,79,369
2005,1,148,101,18,116,10,72,317
2005,2,83,92,24,129,20,66,331
2005,3,157,147,15,152,29,103,446
2005,4,119,114,26,176,23,61,400
2006,1,134,152,19,167,27,94,459
2006,2,83,194,27,274,59,158,712
2006,3,91,212,32,229,37,200,710
2006,4,131,219,27,258,55,168,727
2007,1,233,376,91,417,87,276,1247
2007,2,203,386,97,457,105,264,1309
2007,3,224,297,74,328,73,247,1019
2007,4,210,312,86,407,83,266,1154
2008,1,172,315,78,325,70,208,996
2008,2,173,326,108,339,67,200,1040
2008,3,145,266,61,306,68,174,875
2008,4,155,248,76,315,53,184,876
2009,1,122,274,72,340,65,160,911
2009,2,134,224,136,283,44,126,813
2009,3,164,234,103,290,47,163,837
2009,4,294,357,177,402,90,226,1252
2010,1,154,214,78,250,42,154,738
2010,2,115,193,68,213,42,125,641
2010,3,206,161,48,185,34,120,548
2010,4,99,168,64,208,44,152,636
2011,1,105,148,22,172,32,84,458
2011,2,107,141,41,157,38,83,460
2011,3,107,146,22,181,34,85,468
2011,4,79,181,51,206,30,77,545
2012,1,88,159,35,164,29,77,464
2012,2,83,155,27,168,28,68,446
2012,3,79,183,24,197,37,66,507
2012,4,88,210,47,280,43,101,681
2013,1,70,197,47,224,41,84,593
2013,2,81,173,43,232,43,89,580
2013,3,97,124,44,196,37,89,490
2013,4,100,169,41,235,44,78,567
2014,1,66,184,48,201,61,104,598
2014,2,30,198,75,286,52,100,711
